Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
252.209-7006,Limitations on Contractors Acting as Lead System Integrators,Dec 2022,REMOVE,This clause is to be included in contracts for the acquisition of a major system when the acquisition strategy envisions the use of a lead system integrator,Virginia Tech is executing research efforts.  This clause is not applicable,Not required in clause or prescription,03/28/21 CDC,no,No,209-570-4(a),
OLD,Limitations on Contractors Acting as Lead System Integrators,Jan 2008,REMOVE,This clause is to be included in contracts for the acquisition of a major system when the acquisition strategy envisions the use of a lead system integrator,Virginia Tech is executing research efforts.  This clause is not applicable,Not required in clause or prescription,03/28/21 CDC,no,No,209-570-4(a),
252.209-7007,Prohibited Financial Interests for Lead System Integrators,Dec 2022,REMOVE,This clause is to be included in contracts when 252.209-7006 is included and the contractor will fill the roll of a lead system integrator for a major system,Virginia Tech is executing research efforts.  This clause is not applicable,Not required in clause or prescription,03/28/21 CDC,no,No,209.570-4(b),
OLD,Prohibited Financial Interests for Lead System Integrators,Jul 2009,REMOVE,This clause is to be included in contracts when 252.209-7006 is included and the contractor will fill the roll of a lead system integrator for a major system,Virginia Tech is executing research efforts.  This clause is not applicable,Not required in clause or prescription,03/28/21 CDC,no,No,209.570-4(b),
252.209-7008,Notice of Prohibition Relating to Organizational Conflict of Interest - Major Defense Acquisition Program,Dec 2010,REMOVE,for solicitations that include 252.209-7009,This contract is not for a major defense acquisition program as defined in 10 U.S.C. 2430,no,"03/28/21 CDC
05/19/11 LDC",n/a,No,209-571-8(a),
252.209-7009,Organizational Conflict of Interest - Major Defense Acquisition Program,May 2019,REMOVE,if contract is for systems engineering and technical assistance for major defense acquisition programs,This contract is not for a major defense acquisition program as defined in 10 U.S.C. 2430,no,"03/28/21 CDC
05/19/11 LDC",n/a,No,209.571-8(b),
252.209-7010,Critical Safety Items,Aug 2011,C,"This clause is to be included when the acquisition includes one or more items designated by the design control activity as critical safety items.

The contract should list out any critical safety items.  

 ",,Not required in clause or prescription,03/28/21 CDC,Yes,No,209.270-5  ,
252.209-7998,Representation Regarding Conviction of a Felony Criminal Violation Under Any Federal or State Law  (see full text at bottom),Mar 2012,C,Mark no,remove from contract - only a solicitation provision,Not required in clause or prescription,09/14/12 LDC,no,No,unknown,
252.209-7999,Representation by Corporations Regarding An Unpaid Delinquent Tax Liability of a Felony Conviction Under Any Federal Law,Jan 2012,C,"Mark ""is not""",remove from contract - only a solicitation provision,Not required in clause or prescription,09/14/12 LDC,no,No,unknown,
OLD,RESERVED,,REMOVE,This is no longer an active DFARS clause.,"DFARS 252.211-7000, Acquisition Streamlining, is no longer an active DFARS clause.  It is respectfully requested for this clause to be removed.  In addition, when it was an active clause, it just applied to major systems acquisitions.  Since Virginia Tech is executing research efforts and not involved with a major systems acquisition, it is understood that this clause does not apply.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",,03/27/21 CDC,,No,,
OLD,Acquisition Streamlining,Oct 2010,REMOVE,"This applies to ""systems acquisition programs.""  Tech provides research efforts.  Not applicable. ",,Not required in clause or prescription,05/05/14 CDC,no,No,211.002-70,
OLD,RESERVED,,REMOVE,This is no longer an active DFARS clause.,"DFARS 252.211-7001, Acquisition Streamlining, is no longer an active DFARS clause.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",,03/27/21 CDC,,No,,
OLD,225-7001,May 2006,C,When performance requires use of specifications etc that are not listed in Acquisition Streamlining and Standardization Information System database.  ,Information needs to be completed by sponsoring agency,Not required in clause or prescription,12/20/10 LDC,no,No,211.204(c) ,
252.211-7002,"Availability for Examination of Specifications, Standards, Plans, Drawings, Data Item Descriptions and Other Pertinent Documents",Dec 1991,C,When performance requires use of specifications etc that are not listed in Acquisition Streamlining and Standardization Information System database.  ,Information needs to be completed by sponsoring agency,Not required in clause or prescription,12/20/10 LDC,no,No,211.204(c) ,
252.211-7003,Item Unique Identification and Valuation,Jan 2023,REMOVE,When item unique identification is required,"For acquisition of units.  Virginia Tech is executing research efforts, not providing supplies or items that would be delivered as individual units.","Yes, if a unique identifier is required per paragraph (c) ","03/11/23 CDC
03/28/21 CDC
03/29/14 CDC
05/27/11 LDC",n/a,No,211.274-6(a),
OLD,Item Unique Identification and Valuation,Mar 2016,REMOVE,When item unique identification is required,"For acquisition of units.  Virginia Tech is executing research efforts, not providing supplies or items that would be delivered as individual units.","Yes, if a unique identifier is required per paragraph (c) ","03/28/21 CDC
03/29/14 CDC
05/27/11 LDC",n/a,No,211.274-6(a),
OLD,"The provision, DFARS 252.211-7004, Alternate Preservation, Packaging, and Packing, was repealed on October 1, 2020 ",,,,"DFARS 252.211-7004, Alternate Preservation, Packaging, and Packing, is no longer an active DFARS provision.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",,"03/28/21 CDC
9/29/20 CDC",,No,,
252.211-7004,"Alternate Preservation, Packaging, and Packing",Dec 1991,REMOVE,"in solicitations which include military preservation, packaging or packing specifications",Not applicable for research/service contracts,Not required in clause or prescription,05/27/11 LDC,n/a,No,211.272,
RESERVED,"The clause DFARS 252.211-7005, Substitution for Military or Federal Specifications and Standards, was repealed on October 1, 2020 ",,,,"DFARS 252.211-7005, Substitution for Military or Federal Specifications and Standards, is no longer an active DFARS clause.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",,"03/28/21 CDC
9/29/20 CDC",,No,,
252.211-7005,Substitution for Military or Federal Specifications and Standards,Nov 2005,REMOVE,in contracts over micropurchase threshold when procuring previously developed items,Not applicable for research/service contracts,Not required in clause or prescription,05/27/11 LDC,n/a,No,211.273-4,
252.211-7006,Passive Radio Frequency Identification,Dec 2019,REMOVE,"In contracts requiring shipment of items set forth in DoD 4140.1-R, DoD Supply Chain Materiel Management Regulation meeting the criteria at 211.275-2.
",Virginia Tech is conducting research and will not be shipping items meeting such criteria at 211.275-2,Not required in clause or prescription,"03/28/21 CDC
03/27/18 CDC
10-23/13 CDC",n/a,No,211.275-3,
252.211-7007,Reporting of Government-Furnished Property,Mar 2022,C,"If contract contains FAR 52.245-1, Government Property.",,See paragraph e.  Still have to include data elements from paragraph (d) for items in the possession of subcontractors.,"03/11/23 CDC
03/28/21 CDC
01/03/19 CDC
10/20/13 CDC",no,No,211.274-6(b),
OLD,Reporting of Government-Furnished Property,Aug 2012,C,"If contract contains FAR 52.245-1, Government Property.",,See paragraph e.  Still have to include data elements from paragraph (d) for items in the possession of subcontractors.,"03/28/21 CDC
01/03/19 CDC
10/20/13 CDC",no,No,211.274-6(b),
OLD,Reporting of Government-Furnished Equipment in the DoD Item Unique Identification (IUID) Registry,Nov 2008,C,If contract contains 52.245-1 or 52.245-2.   ,,Not required in clause or prescription,01/19/10 LDC,no,No,211.274-5(b),
252.211-7008,Use of Government Assigned Serial Numbers,Sep 2010,REMOVE,In contracts containing 252.211-7003 and require marking of major end items.,Virginia Tech is conducting research and not providing a major end item.,Not required in clause or prescription,"03/28/21 CDC
03/29/14 CDC
05/27/11 LDC",n/a,No,211.274-6(c) ,
RESERVED,Offeror Representation and Certifications - Commercial Items,,,,"DFARS 252.212-7000, Offeror Representation and Certifications - Commercial Items, is no longer an active DFARS clause.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",,"03/28/21 CDC
01/28/10 LDC",,No,,
252.212-7000,Offeror Representation and Certifications - Commercial Items,Jun 2005,REMOVE,"For commercial Items.  Virginia Tech is performing services, not delivering commercial items","This clause is prescribed for use with commercial items. It is understood that Virginia Tech is executing non-commercial research efforts.  Therefore, it is respectfully requested for this clause to be removed.  ",n/a,"03/28/21 CDC
01/28/10 LDC",n/a,No,212.301(f)(ii),
RESERVED,Contract Terms and Conditions Required to Implement Statues or Executive Orders Applicable to Defense Acquisitions of Commercial Items,Nov 2009,REMOVE,"For commercial Items.  Virginia Tech is performing services, not delivering commercial items","DFARS 252.212-7001, Contract Terms and Conditions Required to Implement Statues or Executive Orders Applicable to Defense Acquisitions of Commercial Items, is no longer an active DFARS clause.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",n/a,"03/28/21 CDC
01/28/10 LDC",n/a,No,212.301(f)(iii),
252.212-7001,Contract Terms and Conditions Required to Implement Statues or Executive Orders Applicable to Defense Acquisitions of Commercial Items,Nov 2009,REMOVE,"For commercial Items.  Virginia Tech is performing services, not delivering commercial items","This clause is prescribed for use with commercial items. It is understood that Virginia Tech is executing non-commercial research efforts.  Therefore, it is respectfully requested for this clause to be removed.  ",n/a,"03/28/21 CDC
01/28/10 LDC",n/a,No,212.301(f)(iii),
252.212-7002,Pilot Program for Acquisition of Military-Purpose Nondevelopmental Items.,Jun 2016,REMOVE,"This clause is prescribed to be used for nondevelopments items.  Virginia Tech is executing research and not providing nondevelopmental items per the applicability criteria at 212.7102-1.  Therefore, it is respectfully requested for this clause to be removed","This clause is prescribed to be used for nondevelopments items.  Virginia Tech is executing research and not providing nondevelopmental items per the applicability criteria at 212.7102-1.  Therefore, it is respectfully requested for this clause to be removed",,,,No,212.7103,
252.213-7000,Notice to Prospective Suppliers on Use of Supplier Performance Risk System in Past Performance Evaluations.,Sep 2019,OK,"This is a solicitation provision that informs offerors that the Supplier Performance Risk System (SPSR) (formerly Past Performance Information Retrieval System - PPIRS) will be used in the evaluation of Virginia Tech's past performance.  

Since this is not a contract clause, it should not be included within a resulting contract award.  If the Contracting Officer is insistent on its inclusion in the agreement, it is not harmful as it really does not have any contractually binding terms.  ","DFARS 252.215-7000, Contract Terms and Conditions Required to Implement Statues or Executive Orders Applicable to Defense Acquisitions of Commercial Items, is no longer an active DFARS clause.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",n/a,"03/11/23 CDC
03/28/21 CDC
03/27/18 CDC
10/23/13 CDC",N/A,No,213.106-2-70,
OLD,Notice to Prospective Suppliers on Use of Supplier Performance Risk System in Past Performance Evaluations.,Mar 2018,OK,"This is a solicitation provision that informs offerors that the Supplier Performance Risk System (SPSR) (formerly Past Performance Information Retrieval System - PPIRS) will be used in the evaluation of Virginia Tech's past performance.  

Since this is not a contract clause, it should not be included within a resulting contract award.  If the Contracting Officer is insistent on its inclusion in the agreement, it is not harmful as it really does not have any contractually binding terms.  ","DFARS 252.215-7000, Contract Terms and Conditions Required to Implement Statues or Executive Orders Applicable to Defense Acquisitions of Commercial Items, is no longer an active DFARS clause.  Therefore, for clarity, it is respectfully requested for this clause to be removed.  Thank you.",n/a,"03/28/21 CDC
03/27/18 CDC
10/23/13 CDC",N/A,No,213.106-2-70,
252.215.7000,RESERVED,,,"This clause was deleted on June 29, 2018.  It was determined that this topic is already addressed by the FAR at FAR clause 52.215-11, Price Reduction for Defective Certified Cost or Pricing Data—Modifications, FAR 52.215-12, Subcontractor Certified Cost or Pricing Data, or FAR 52.215-13, Subcontractor Certified Cost or Pricing Data—Modifications.",,,"03/28/21 CDC
03/27/18 CDC
10/23/13 CDC",no,No,215.408(1),
OLD,Pricing Adjustments,Dec 2012,C,"Required if any of these clauses are included within the contract:

(i)  FAR 52.215-11, Price Reduction for Defective Certified Cost or Pricing Data--Modifications; (ii)  FAR 52.215-12, Subcontractor Certified Cost or Pricing Data; or (iii)  FAR 52.215-13, Subcontractor Certified Cost or Pricing Data--Modifications.",,Not required in clause or prescription,"03/28/21 CDC
03/27/18 CDC
10/23/13 CDC",no,No,215.408(1),
OLD,Pricing Adjustments,Dec 1991,C,"Required if FAR 52.215-11, 52.215-12, or 52.215-13 are used.",,Not required in clause or prescription,"12/06/15 CDC
10/18/10 LDC",no,No,215.408(1),
252.215-7002,Cost Estimating System Requirements,Dec 2012,C,Required for all contracts awarded on the basis of cost or pricing data.  ,,Not required in clause or prescription,"03/11/23 CDC
05/27/11 LDC",no,No,215.408(2),
OLD,Cost Estimating System Requirements (Archived 4/27/11),Dec 2006,C,Required for all contracts awarded on the basis of cost or pricing data.  ,,Not required in clause or prescription,10/30/09 LDC,no,No,215.408(2),
252.215-7003,Requirement for Submission of Data Other Than Certified Cost or Pricing Data—Canadian Commercial Corporation.,Jul 2012,C,"Only for contracts with a Canadian Commercial Corporations over $700,000 for CR and over $500M for FP.",,Not required in clause or prescription,10/20/13 CDC,no,No,215.408(5)(i),
OLD,RESERVED, ,,,,,,,No,,
OLD,Excessive Pass-Through Charges-Identification of Subcontract Effort (Archived 3/31/11),May 2008,C,"If contract exceeds $650,000 and is fixed price",,Not required in clause or prescription,10/30/09 LDC,no,,215.408(3),
252.215-7004,Requirement for Submission of Data Other Than Certified Cost or Pricing Data—Modifications—Canadian Commercial Corporation.,Oct 2013,C,"Only for contracts with a Canadian Commercial Corporations over $700,000 for CR and over $500M for FP.",,Not required in clause or prescription,12/06/14 CDC,no,,215.408(3)(ii),
OLD,Excessive Pass-Through Charges (Archived 3/31/11),May 2008,C,If total value exceeds threshold for obtaining cost or pricing data in accordance with FAR 15.403-4 (exceptions listed),,Not required in clause or prescription,05/27/11 LDC,no,,215.408(4),
252.215-7005,Evaluation Factor for Employing or Subcontracting with Members of the Selected Reserve ,Mar 2022,C,In solicitations including an evaluation factor relating to employment of Selected Reserve personnel,,Not required in clause or prescription,05/27/11 LDC,no,,215.370-3(a),
OLD,Evaluation Factor for Employing or Subcontracting with Members of the Selected Reserve ,Oct 2008,C,In solicitations including an evaluation factor relating to employment of Selected Reserve personnel,,Not required in clause or prescription,05/27/11 LDC,no,,215.370-3(a),
252.215-7006,Use of Employees or Subcontractors Who are Members of the Selected Reserve,Mar 2022,C,in solicitations that include 252.215-7005 and contracts whose proposal stated use of Selected Reserve personnel,,Not required in clause or prescription,"03/11/23 CDC
05/27/11 LDC",no,,215.370-3(b),
OLD,Use of Employees or Subcontractors Who are Members of the Selected Reserve,Oct 2008,C,in solicitations that include 252.215-7005 and contracts whose proposal stated use of Selected Reserve personnel,,Not required in clause or prescription,05/27/11 LDC,no,,215.370-3(b),
252.215-7007,Notice of Intent to Resolicit,Jun 2012,C,"In competitive solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items, that will be solicited for fewer than 30 days.

Allows CO to cancel the solicitation and resolicit for a period of at least 30 days if only one offer is received.",,Not required in provision or prescription,"03/11/23 CDC
04/22/14 CDC",no,No,215.371-6,
252.215-7008,Only One Offer,Dec 2022,C,"In competitive solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items, unless an exception at 215.371-4(a) applies. 

DFARS 215.371-4(a)(1) exempts acquisitions below SAT.  DFARS 215.371-4(a)(4) exempts acquisitions of basic and applied research or development that use a BAA.",This is a solicitation provision that should not be included in a resulting contract.  ,Not required in provision or prescription,"03/11/23 CDC
07/05/19 CDC
04/22/14 CDC",no,No,215.408(4),
OLD,Only One Offer,Jun 2019,C,"In competitive solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items, unless an exception at 215.371-4(a) applies. 

DFARS 215.371-4(a)(1) exempts acquisitions below SAT.  DFARS 215.371-4(a)(4) exempts acquisitions of basic and applied research or development that use a BAA.",This is a solicitation provision that should not be included in a resulting contract.  ,Not required in provision or prescription,"07/05/19 CDC
04/22/14 CDC",no,No,215.408(4),
252.215-7009,Proposal Adequacy Checklist,Jan 2023,C,When the solicitation requires the submission of certified cost or pricing data.,,Not required in provision or prescription,"03/11/23 CDC
04/22/14 CDC",no,,215.408(5),
OLD,Proposal Adequacy Checklist,Jan 2014,C,When the solicitation requires the submission of certified cost or pricing data.,,Not required in provision or prescription,04/22/14 CDC,no,,215.408(5),
252.215-7010,Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data.,Jun 2019,Not Applicable," Use the basic or alternate of the provision at 252.215-7010, Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data, in lieu of the provision at FAR 52.215-20, Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items.",This is a solicitation provision that should not be included in a resulting contract.  ,,"03/11/23 CDC
07/05/19 CDC
04/22/14 CDC",,No,215.408(5)(i),
252.215-7011,Requirements for Submission of Proposals to the Administrative Contracting Officer and Contract Auditor,Jan 2018,Not Applicable,This is a solicitation provision that really should not be incldued within the resulting contract. ,This is a solicitation provision that should not be included in a resulting contract.  ,,"03/11/23 CDC
07/05/19 CDC
04/22/14 CDC",,,,
252.215-7012,Requirements for Submission of Proposals via Electronic Media.,Jan 2018,Not Applicable,This is a solicitation provision that really should not be incldued within the resulting contract. ,This is a solicitation provision that should not be included in a resulting contract.  ,,"03/11/23 CDC
07/05/19 CDC
04/22/14 CDC",,,,
252.215-7013,Supplies and Services Provided by Nontraditional Defense Contractors.,Jan 2023,Not Applicable,This is a solicitation provision that really should not be incldued within the resulting contract. ,This is a solicitation provision that should not be included in a resulting contract.  ,,"03/11/23 CDC
07/05/19 CDC
04/22/14 CDC",,,,
OLD,Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data.,Jun 2019,Not Applicable," Use the basic or alternate of the provision at 252.215-7010, Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data, in lieu of the provision at FAR 52.215-20, Requirements for Certified Cost or Pricing Data and Data Other Than Certified Cost or Pricing Data, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items.",This is a solicitation provision that should not be included in a resulting contract.  ,,"07/05/19 CDC
04/22/14 CDC",,No,215.408(5)(i),
252.215-7014,Exception from Certified Cost or Pricing Data Requirements for Foreign Military Sales Indirect Offsets.,Jun 2018,REMOVE,"To be used when it is reasonable certain that 

when it is reasonably certain that—
(i)  The contract is expected to include costs associated with an indirect offset; and
(ii)  The submission of certified cost or pricing data or data other than certified cost or pricing data will be required.",“Offset” means a benefit or obligation agreed to by a contractor and a foreign government or international organization as an inducement or condition to purchase supplies or services pursuant to a foreign military sale (FMS).   Virginia Tech will not include offsets.  Request removal. ,,07/01/18 CDC,no,No,215.408(7),
252.216-7000,"Economic Price Adjustment—Basic Steel, Aluminum, Brass, Bronze, or Copper Mill Products.",Jan 2023,REMOVE,"May be used in fixed-price supply solicitations and contracts for basic steel, aluminum, brass, bronze, or copper mill products, such as sheets, plates, and bars, when an established catalog or market price exists for the particular product being acquired. ",,Not applicable to Virginia Tech.,"03/11/23 CDC
05/24/15 CDC",no,No,216.203-4-70(a)(1)(i),
OLD,"Economic Price Adjustment—Basic Steel, Aluminum, Brass, Bronze, or Copper Mill Products.",Mar 2012,REMOVE,"May be used in fixed-price supply solicitations and contracts for basic steel, aluminum, brass, bronze, or copper mill products, such as sheets, plates, and bars, when an established catalog or market price exists for the particular product being acquired. ",,Not applicable to Virginia Tech.,05/24/15 CDC,no,No,216.203-4-70(a)(1)(i),
252.216-7001,Economic Price Adjustment--Nonstandard Steel Items.,Jan 2023,REMOVE,"May be used in fixed-price supply contracts when—
 (i)  The contractor is a steel producer and actually manufacturers the standard steel mill item referred to in the “base steel index” definition of the clause; and

   (ii)  The items being acquired are nonstandard steel items made wholly or in part of standard steel mill items.",,Not applicable to Virginia Tech.,"03/19/23 CDC
05/24/15 CDC",no,No,216.203-4-70(b)(1),
OLD,Economic Price Adjustment--Nonstandard Steel Items.,Jul 1997,REMOVE,"May be used in fixed-price supply contracts when—
 (i)  The contractor is a steel producer and actually manufacturers the standard steel mill item referred to in the “base steel index” definition of the clause; and

   (ii)  The items being acquired are nonstandard steel items made wholly or in part of standard steel mill items.",,Not applicable to Virginia Tech.,05/24/15 CDC,no,No,216.203-4-70(b)(1),
252.216-7002,"Alternate A, Time-and-Materials/Labor-Hour Proposal Requirements–Other Than Commercial Acquisition with Adequate Price Competition.",Jan 2023,REMOVE,"Use the provision at FAR 52.216-29, Time-and-Materials/Labor-Hour Proposal Requirements—Other Than Commercial Acquisition with Adequate Price Competition, with 252.216-7002, Alternate A, in solicitations contemplating the use of a time-and-materials or labor-hour contract type for other than commercial products or commercial services if the price is expected to be based on adequate competition. "," The University accounts for salaried personnel costs using after the fact certifications of percentage-of-effort instead of timecards. This method of accounting is in accordance with federal
Uniform Guidance 2 CFR § 200.430 subpart (i).  Therefore, it is understood that Virginia Tech is unable to accept Time-and-Materials/Labor-Hour contracts.  ",,"03/19/23 CDC
05/24/15 CDC",,No,216.203-4-70(b)(1),
252.216-7003,Economic Price Adjustment--Wage Rates or Material Prices Controlled by a Foreign Government.,Mar 2012,REMOVE,"May be used in fixed-price supply and service solicitations and contracts when—
 
    (A)  The contract is to be performed wholly or in part in a foreign country; and

    (B)  A foreign government controls wage rates or material prices and may, during contract performance, impose a mandatory change in wages or prices of material.

",,Not applicable to Virginia Tech.,"03/19/23 CDC
05/24/15 CDC",no,No,216.203-4-70(c)(1),
252.216-7004,Award Fee Reduction or Denial for Jeopardizing the Health or Safety of Government Personnel,Sep 2011,REMOVE,Used in all solicitations and contracts containing award-fee provisions,,"Virginia Tech is unable to charge a profit and, therefore, cannot accept an award fee.","03/19/23 CDC
05/24/15 CDC",no,No,216.406( e)(1),
252.216-7005,RESERVED,,,"This clause was deleted on September 28,2018.  It was determined to be redundant. On February 24, 2017, the President signed Executive Order (E.O.) 13777, “Enforcing the Regulatory Reform Agenda,” which established a Federal policy “to alleviate unnecessary regulatory burdens” on the American people. In accordance with E.O. 13777, DoD established a Regulatory Reform Task Force to review and validate DoD regulations, including the DFARS. This Task Force determined this clause was unnecessary.  ",,,,,No,,
OLD,Award Fee,Feb 2011,REMOVE,Used in solicitations and contracts when an award-fee contract is contemplated. ,,"Virginia Tech is unable to charge a profit and, therefore, cannot accept an award fee.",05/24/15 CDC,no,No,216.406( e)(2),
252.216-7006,"RESERVED - This clause was retired on August 31, 2020.",,,,,,08/29/20 CDC,,No,,
OLD,Ordering,May 2011,C,"Used in lieu of the clause at FAR 52.216- 18, Ordering, in solicitations and contracts when a definite-quantity contract, a requirements contract, or an indefinite-quantity contract is contemplated. ",,Not required in provision or prescription,1/13/215 CDC,no,No,216-506(a),
252.216-7007,"Economic Price Adjustment—Basic Steel, Aluminum, Brass, Bronze, or Copper Mill Products—Representation",Mar 2012,REMOVE,Required if DFARS 252.216-7000 is included in solicitation.  ,,Not applicable to Virginia Tech.,"03/19/23 CDC
05/24/15 CDC",no,No,216.203-4-70(a)(2),
252.216-7008,Economic Price Adjustment—Wage Rates or Material Prices Controlled by a Foreign Government—Representation,Mar 2012,REMOVE,Required if DFARS 252.216-7003 is included in solicitation.  ,,Not applicable to Virginia Tech.,05/24/15 CDC,no,No,216.203-4-70(c)(2),
252.216-7009,Allowability of Legal Costs Incurred in Connection with a Whistleblower Proceeding,Dec 2022,C," This clause is to be included In task orders entered pursuant to contracts awarded before September 30, 2013, that include the clause at FAR 52.216-7, Allowable Cost and Payment; and

(2)  In contracts awarded before September 30, 2013, that—
(i)  Include the clause at FAR 52.216-7, Allowable Cost and Payment; and
 (ii)  Are modified to include the clause at DFARS 252.203-7002, Requirement to Inform Employees of Whistleblower Rights, dated September 2013 or later.

 ",,Not required in provision or prescription,"03/19/23 CDC 
05/05/14 CDC",no,No,216.307,
OLD,Allowability of Legal Costs Incurred in Connection with a Whistleblower Proceeding,Sep 2013,C,"Applies to contracts and task orders awarded prior to September 30, 2013.  This is a clause that a Contracting Officer might include within a modification to a legacy contract.  This is not a clause that should be included within new awards.",,Not required in provision or prescription,05/05/14 CDC,no,No,216.307,
252.216-7010,Postaward Debriefings for Task Orders and Delivery Orders.,Dec 2022,C,"To be included in competitive negotiated solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, when a multiple-award contract is contemplated and task orders or delivery orders placed under the contract may be valued at $10 million or more.","This clause should not be included, as it is prescribed at DFARS 216.506-70(b) to be included in multiple-award contract and task orders or delivery orders placed under the contract may be valued at $10 million or more.",Not required in provision or prescription,03/19/23 CDC,no,No,216.506-70(b),
OLD,Requirements,Apr 2014,REMOVE,"Used in solicitations and contracts when a requirements contract for the preparation of personal property for shipment or storage, or for the performance of intra-city or intra-area movement, is contemplated.",,Not applicable to Virginia Tech.,05/24/15 CDC,no,No,216.506(b),
252.219-7000,Advancing Small Business Growth.,Dec 2022,,"This provision is used in solicitations, including solicitations using FAR part 12 procedures for acquisition of commercial products and commercial services, when the estimated annual value of the contract is expected to exceed—

 (i)  The small business size standard, if expressed in dollars, for the North American Industry Classification System (NAICS) code assigned by the contracting officer; or

 (ii)  $70 million, if the small business size standard is expressed as number of employees for the NAICS code assigned by the contracting officer.",This is a solicitation provision and would not be included in a resulting contract.  ,Not required in provision or prescription,03/19/23 CDC,no,No,219.309(1),
252.219-7003,Small Business Subcontracting Plan (DoD Contracts),Dec 2019,C,"If contract contains 52.219-9.

Be advised that this clause at   (e)  requires for us to notify the KO (Contracting Officer) of any substitutions of firms that are not small business firms, for the small business firms specifically identified in the subcontracting plan. Notifications shall be in writing and shall occur within a reasonable period of time after award of the subcontract. ",https://www.acq.osd.mil/dpap/policy/policyvault/USA001998-21-DPC.pdf,Not required in clause or prescription,"03/19/23 CDC
06/12/20 CDC
01/03/19 CDC
04/13/18 CDC
12/06/2014 CDC
10/20/13 CDC",yes,No,219.708(b)(1)(A)(1),
OLD,Small Business Subcontracting Plan (DoD Contracts),Dec 2018,C,"If contract contains 52.219-9.

Be advised that this clause at   (e)  requires for us to notify the KO (Contracting Officer) of any substitutions of firms that are not small business firms, for the small business firms specifically identified in the subcontracting plan. Notifications shall be in writing and shall occur within a reasonable period of time after award of the subcontract. ",,Not required in clause or prescription,"01/03/19 CDC
04/13/18 CDC
12/06/2014 CDC
10/20/13 CDC",yes,No,219.708(b)(1)(A)(1),
OLD,Small Business Subcontracting Plan (DoD Contracts),Oct 2010,C,If contract contains 52.219-9,,Not required in clause or prescription,05/27/11 LDC,yes,No,219.708(b)(1)(A),
252.219-7004,Small Business Subcontracting Plan (Test Program),Dec 2022,REMOVE,"Applies if subcontracting plans are approved under the test program described in 219.702.  The test program requires for a business concern to have furnished supplies or services (including construction) under at least three DoD contracts during the preceding fiscal year, having an aggregate value of at least $100 million.","Virginia Tech will execute Small Business Subcontracting Plans, as required, on a per contract basis.  It is not pursuing a comprehensive small business subcontracting plan.  Request removal. ",Not required in clause or prescription,"03/18/23 CDC
04/13/18 CDC
5/27/11 LDC",n/a,No,219.708(b)(1)(B),
OLD,Small Business Subcontracting Plan (Test Program),Apr 2018,REMOVE,"Applies if subcontracting plans are approved under the test program described in 219.702.  The test program requires for a business concern to have furnished supplies or services (including construction) under at least three DoD contracts during the preceding fiscal year, having an aggregate value of at least $100 million.","Virginia Tech will execute Small Business Subcontracting Plans, as required, on a per contract basis.  It is not pursuing a comprehensive small business subcontracting plan.  Request removal. ",Not required in clause or prescription,"04/13/18 CDC
5/27/11 LDC",n/a,No,219.708(b)(1)(B),
252.219-7009,Section 8(a) Direct Award,Oct 2018,REMOVE,,For direct SBA awards only,Not required in clause or prescription,"03/19/23 CDC
05/27/11 LDC",n/a,No,219.811-3,
OLD,Section 8(a) Direct Award,Sep 2007,REMOVE,,For direct SBA awards only,Not required in clause or prescription,05/27/11 LDC,n/a,No,219.811-3,
252.219-7010,Notification of Competition Limited to Eligible 8(a) Participants—Partnership Agreement. ,Oct 2019,REMOVE,"Use the clause at 252.219-7010, Notification of Competition Limited to Eligible 8(a) Participants—Partnership Agreement, in lieu of the clause at FAR 52.219-18, Notification of Competition Limited to Eligible 8(a) Participants, in competitive solicitations and contracts when the acquisition is accomplished using the procedures of FAR 19.805 and processed in accordance with the PA cited in 219.800.",Remove because 52.219-18 is not in contract,Not required in clause or prescription,"03/19/23 CDC
05/27/11 LDC",no,No,219.811-3(2),252.219-7011  -  252.222-7006
