Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Terms and Conditions --Simplified Acquisitions (Other than Commercial Items),Mar 2012,C,"For Simplified Acquisitions exceeding micropurchase threshold
If accepted, the following modifications need to be made: add cure clause to termination for cause and delete warranty clause
(Other clauses are self-deleting as parenthetical notes apply)","Per prescription 13.302-5(2)(ii), this clause can be modified.  Virginia Tech requests a cure clause be added to the termination for cause clause, paragraph (g) (**see suggested language at bottom of page) and for the warranty clause, paragraph (h) be deleted because it does not apply to research",Not required in clause or prescription,06/27/12 LDC,n/a,No,13.302-5(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   OLD,"Archived on November 13, 2009",Oct 2009,C,"For Simplified Acquisitions exceeding micropurchase threshold
If accepted, the following modifications need to be made: add cure clause to termination for cause and delete warranty clause
(Other clauses are self-deleting as parenthetical notes apply)
NOTE: Get Trafficking in Persons Agmnt signed by PI","Per prescription 13.302-5(2)(ii), this clause can be modified.  Virginia Tech  requests a cure clause be added to the termination for cause clause, paragraph (g) (**see suggested language at bottom of page) and for the warranty clause, paragraph (h) be deleted because it does not apply to research",Not required in clause or prescription,12/16/09 LDC,no,No,13.302-5(d),52.213-5 - 52.214-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-1,Reserved,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-2,Reserved,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-3,Amendments to Invitations for Bids,Dec 2016,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-4,False Statements in Bids,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (b)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-5,Submission of Bids,Dec 2016,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (c)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-6,Explanation to Prospective Bidders,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (c)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-7,"Late Submissions, Modifications, and Withdrawals of Bids",Nov 1999,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-8,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-9,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-10,Contract Award—Sealed Bidding,Jul 1990,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-11,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-12,Preparation of Bids,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-13,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-14,Place of Performance - Sealed Bidding,Apr 1985,C,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ",in invitations for bids except those in which the place of performance is specified by the government,n/a - only for RFP,"02/18/23 CDC
12/14/10 LDC",no,No,14.201-6 (h),52.214-15 - 52.214-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-15,Period for Acceptance of Bids,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-16,Minimum Bid Acceptance Period,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-17,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-18,Preparation of Bids—Construction,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-19,Contract Award—Sealed Bidding—Construction,Aug 1996,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-20,Bid Samples,Apr 2002,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (o)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-21,Descriptive Literature,Apr 2002,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (p)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-22,Evaluation of Bids for Multiple Awards,Mar 1990,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (q),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-23,"Late Submissions, Modifications, Revisions, and Withdrawals of Technical Proposals under Two-Step Sealed Bidding",Nov 1999,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (r),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-24,Multiple Technical Proposals,Apr 1984,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-25,Step Two of Two-Step Sealed Bidding,Apr 1985,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (t),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-26,Audit and Records—Sealed Bidding,Jun 2020,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-7 (a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Audit and Records—Sealed Bidding,Oct 2010,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-7 (a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-27,Price Reduction for Defective Certified Cost or Pricing Data—Modifications—Sealed Bidding,Jun 2020,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-7 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Price Reduction for Defective Certified Cost or Pricing Data—Modifications—Sealed Bidding,Aug 2011,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-7 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-28,Subcontractor Certified Cost or Pricing Data - Modifications - Sealed Bidding,Jun 2020,C,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ",When contracting by sealed bid and  contract is expected to exceed the threshold for submission of certified cost or pricing data at 15.403-4(a)(1).,"Yes, if subcontract exceeds threshold for submission of cost or pricing data at 15.403-4(a)(1).","02/18/23 CDC
12/16/10 LDC",no,No,14.201-7 (c) ,52.214-29 and 52.214-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Subcontractor Certified Cost or Pricing Data - Modifications - Sealed Bidding,Oct 2010,C,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ",When contracting by sealed bid and  contract is expected to exceed the threshold for submission of certified cost or pricing data at 15.403-4(a)(1).,"Yes, if subcontract exceeds threshold for submission of cost or pricing data at 15.403-4(a)(1).",12/16/10 LDC,no,No,14.201-7 (c) ,52.214-29 and 52.214-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-29,Order of Precedence—Sealed Bidding,Jan 1986,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-7 (d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-30,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-31,Facsimile Bids,Dec 1989,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"02/18/23 CDC
04/09/18 CDC",no,No,14.201-6 (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-32,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-33,Reserved,,,,,,,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-34,Submission of Offers in the English Language,Apr 1991,REMOVE,"FAR Part 14 discusses Sealed Bidding procurements.  This would be for a commercial buy.  Therefore, prescribed at FAR Part 14 should not apply to Virginia Tech.  Request removal using the text to the right.  Thank you. ","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",n/a,1/13/10 LDC,no,No,14.201-6 (w),52.214-32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.214-35,Submission of Offers in U.S. Currency,Apr 1991,REMOVE,"This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.","This is a solicitation provision used within Sealed Bidding procurements.  In order to use sealed bidding, the Government must describe its requirements accurately, clearly, and completely.  Given the inherent uncertainty and the unique nature of research, this type of procurement method is not applicable.  Request removal.",,"01/01/19 CDC
04/09/18 CDC",no,No,14.201-6 (x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.215-1,Instructions to Offerors - Competitive Acquisition,Nov 2021,C,"In solicitations where government intends to issue contract without discussion.  NOTE:  this means exceptions must be taken at the proposal stage.

This version of the clause reflects updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",,n/a,"02/18/23 CDC
12/29/21 CDC
01/01/19 CDC
04/09/18 CDC
05/27/17 CDC",yes - proposal instructions,No,15.209 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Instructions to Offerors - Competitive Acquisition,Jan 2017,C,In solicitations where government intends to issue contract without discussion.  NOTE:  this means exceptions must be taken at the proposal stage,,n/a,"01/01/19 CDC
04/09/18 CDC
05/27/17 CDC",yes - proposal instructions,No,15.209 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.215-2,Audit and Records - Negotiation,Jun 2020 with Alternate II (Aug 2016) ,C,"in contracts:
   - exceeding SAT
   - not commercial items
Use Alt II for CR with ""State and local Governments, educational institutions, and other nonprofit organizations.""
Alt III OK when Agency Head designates exemption from examination of records by the Comptroller General.  ","This clause is prescribed at FAR 15.209(b)(3) and it allows for the inclusion of this clause with its Alternate II for cost contracts with State and local governments, educational institutions, and other non-profit organizations.  
","Yes if:
- exceeds SAT and
- CR (etc - see clause) and
- requires certified cost/pricing data and
- require reports in (d)","02/18/23 CDC
1/24/21 CDC
01/01/19 CDC
03/29/14 CDC
05/16/11 LDC",no,No,15.209 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Audit and Records - Negotiation,Oct 2010 with Alternate II (Aug 2016) ,C,"in contracts:
   - exceeding SAT
   - not commercial items
Use Alt I for ARRA funds
Use Alt II for CR with ""State and local Governments, educational institutions, and other nonprofit organizations.""
Alt III OK when Agency Head designates exemption from examination of records by the Comptroller General.  ","FAR 15.209(b)(3) prescribes the use of this clause with its Alternate II for cost-reimbursement contracts with State and local Governments, educational institutions, and other nonprofit organizations.

The August 2016 version of this clause updates the references to include the Uniform Guidance.","Yes if:
- exceeds SAT and
- CR (etc - see clause) and
- requires certified cost/pricing data and
- require reports in (d)","01/01/19 CDC
03/29/14 CDC
05/16/11 LDC",no,No,15.209 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
